Element Number,Radius,Flow Rate,Inlet Pressure,Outlet Pressure,order
0.0,1.8,4166.7,6930.003398,6862.081221,10.0
1.0,1.8,4166.7,6862.081221,6861.880171,10.0
2.0,1.8,4166.7,6861.880171,6861.679121,10.0
3.0,1.8,4166.7,6861.679121,6861.478072,10.0
4.0,1.8,4166.7,6861.478072,6861.277022,10.0
5.0,1.8,4166.7,6861.277022,6861.075972,10.0
6.0,1.8,4166.7,6861.075972,6860.874923,10.0
7.0,1.8,4166.7,6860.874923,6860.590558,10.0
8.0,1.8,4166.7,6860.590558,6860.306194,10.0
9.0,1.8,4166.7,6860.306194,6860.105144,10.0
10.0,1.8,4166.7,6860.105144,6859.82078,10.0
11.0,1.8,4166.7,6859.82078,6859.536416,10.0
12.0,1.8,4166.7,6859.536416,6859.252053,10.0
13.0,1.8,4166.7,6859.252053,6858.96769,10.0
14.0,1.8,4166.7,6858.96769,6858.683327,10.0
15.0,1.8,4166.7,6858.683327,6858.482277,10.0
16.0,1.8,4166.7,6858.482277,6858.281228,10.0
17.0,1.8,4166.7,6858.281228,6857.996865,10.0
18.0,1.8,4166.7,6857.996865,6857.795816,10.0
19.0,1.8,4166.7,6857.795816,6857.594766,10.0
20.0,1.8,4166.7,6857.594766,6857.310404,10.0
21.0,1.8,4166.7,6857.310404,6857.026042,10.0
22.0,1.8,4166.7,6857.026042,6856.74168,10.0
23.0,1.8,4166.7,6856.74168,6856.457319,10.0
24.0,1.8,4166.7,6856.457319,6856.172958,10.0
25.0,1.8,4166.7,6856.172958,6855.888598,10.0
26.0,1.8,4166.7,6855.888598,6855.604237,10.0
27.0,1.8,4166.7,6855.604237,6855.319877,10.0
28.0,1.8,4166.7,6855.319877,6855.118828,10.0
29.0,1.8,4166.7,6855.118828,6854.917778,10.0
30.0,1.8,4166.7,6854.917778,6854.633418,10.0
31.0,1.8,4166.7,6854.633418,6854.432369,10.0
32.0,1.8,4166.7,6854.432369,6854.148009,10.0
33.0,1.8,4166.7,6854.148009,6853.86365,10.0
34.0,1.8,4166.7,6853.86365,6853.579292,10.0
35.0,1.8,4166.7,6853.579292,6853.378198,10.0
36.0,1.8,4166.7,6853.378198,6853.08596,10.0
37.0,1.8,4166.7,6853.08596,6852.801598,10.0
38.0,1.8,4166.7,6852.801598,6852.600548,10.0
39.0,1.8,4166.7,6852.600548,6852.399499,10.0
40.0,1.8,4166.7,6852.399499,6852.115137,10.0
41.0,1.8,4166.7,6852.115137,6851.914088,10.0
42.0,1.8,4166.7,6851.914088,6851.629726,10.0
43.0,1.8,4166.7,6851.629726,6851.345365,10.0
44.0,1.8,4166.7,6851.345365,6851.061005,10.0
45.0,1.8,4166.7,6851.061005,6850.859955,10.0
46.0,1.8,4166.7,6850.859955,6850.658905,10.0
47.0,1.8,4166.7,6850.658905,6850.457856,10.0
48.0,1.8,4166.7,6850.457856,6850.256806,10.0
49.0,1.8,4166.7,6850.256806,6849.972446,10.0
50.0,1.8,4166.7,6849.972446,6849.688086,10.0
51.0,1.8,4166.7,6849.688086,6849.487036,10.0
52.0,1.8,4166.7,6849.487036,6849.202676,10.0
53.0,1.8,4166.7,6849.202676,6848.918317,10.0
54.0,1.8,4144.8,6848.918317,6848.718323,10.0
55.0,1.8,4144.8,6848.718323,6848.435458,10.0
56.0,1.8,4144.8,6848.435458,6848.152594,10.0
57.0,1.8,4144.8,6848.152594,6847.9526,10.0
58.0,1.8,4144.8,6847.9526,6847.752607,10.0
59.0,1.8,4144.8,6847.752607,6847.469743,10.0
60.0,1.8,4144.8,6847.469743,6847.186879,10.0
61.0,1.8,4144.8,6847.186879,6846.986885,10.0
62.0,1.8,4144.8,6846.986885,6846.704022,10.0
63.0,1.8,4144.8,6846.704022,6846.421158,10.0
64.0,1.8,4144.8,6846.421158,6846.138295,10.0
65.0,1.8,4144.8,6846.138295,6845.938301,10.0
66.0,1.8,4144.8,6845.938301,6845.655438,10.0
67.0,1.8,4144.8,6845.655438,6845.455445,10.0
68.0,1.8,4144.8,6845.455445,6845.255452,10.0
69.0,1.8,4144.8,6845.255452,6845.055459,10.0
70.0,1.8,4144.8,6845.055459,6844.855466,10.0
71.0,1.8,4144.8,6844.855466,6844.572603,10.0
72.0,1.8,4144.8,6844.572603,6844.37261,10.0
