Element Number,Radius,Flow Rate,Inlet Pressure,Outlet Pressure,Shear Stress,Order
127.0,1.3043,879.83,5682.864552,5682.650853,1.6963508449011124,9.0
128.0,1.3043,879.83,5682.650853,5682.499744,1.6963508449011124,9.0
129.0,1.3043,879.83,5682.499744,5682.348634,1.6963508449011124,9.0
130.0,1.3043,879.83,5682.348634,5682.197524,1.6963508449011124,9.0
131.0,1.3043,879.83,5682.197524,5681.983826,1.6963508449011124,9.0
132.0,1.3043,879.83,5681.983826,5681.832716,1.6963508449011124,9.0
133.0,1.3043,879.83,5681.832716,5681.681606,1.6963508449011124,9.0
134.0,1.3043,879.83,5681.681606,5681.530495,1.6963508449011124,9.0
135.0,1.3043,879.83,5681.530495,5681.379385,1.6963508449011124,9.0
136.0,1.3043,879.83,5681.379385,5681.165686,1.6963508449011124,9.0
137.0,1.3043,879.83,5681.165686,5680.951987,1.6963508449011124,9.0
138.0,1.3043,879.83,5680.951987,5680.800876,1.6963508449011124,9.0
139.0,1.3043,879.83,5680.800876,5680.649765,1.6963508449011124,9.0
140.0,1.3043,879.83,5680.649765,5680.498654,1.6963508449011124,9.0
141.0,1.3043,879.83,5680.498654,5680.284955,1.6963508449011124,9.0
142.0,1.3043,879.83,5680.284955,5680.133849,1.6963508449011124,9.0
143.0,1.3043,879.83,5680.133849,5679.982744,1.6963508449011124,9.0
144.0,1.3043,879.83,5679.982744,5679.769045,1.6963508449011124,9.0
145.0,1.3043,879.83,5679.769045,5679.555345,1.6963508449011124,9.0
146.0,1.3043,879.83,5679.555345,5679.341646,1.6963508449011124,9.0
147.0,1.3043,879.83,5679.341646,5679.19054,1.6963508449011124,9.0
148.0,1.3043,879.83,5679.19054,5678.976841,1.6963508449011124,9.0
149.0,1.3043,879.83,5678.976841,5678.825729,1.6963508449011124,9.0
150.0,1.3043,879.83,5678.825729,5678.674617,1.6963508449011124,9.0
151.0,1.3043,879.83,5678.674617,5678.523505,1.6963508449011124,9.0
152.0,1.3043,879.83,5678.523505,5678.372392,1.6963508449011124,9.0
153.0,1.3043,879.83,5678.372392,5678.22128,1.6963508449011124,9.0
154.0,1.3043,879.83,5678.22128,5678.070167,1.6963508449011124,9.0
155.0,1.3043,879.83,5678.070167,5677.919055,1.6963508449011124,9.0
156.0,1.3043,879.83,5677.919055,5677.705354,1.6963508449011124,9.0
157.0,1.3043,879.83,5677.705354,5677.491653,1.6963508449011124,9.0
158.0,1.3043,879.83,5677.491653,5677.277953,1.6963508449011124,9.0
159.0,1.3043,879.83,5677.277953,5677.064252,1.6963508449011124,9.0
160.0,1.3043,879.83,5677.064252,5676.913147,1.6963508449011124,9.0
161.0,1.3043,879.83,5676.913147,5676.762041,1.6963508449011124,9.0
162.0,1.3043,879.83,5676.762041,5676.54834,1.6963508449011124,9.0
163.0,1.3043,879.83,5676.54834,5676.334639,1.6963508449011124,9.0
164.0,1.3043,879.83,5676.334639,5676.183534,1.6963508449011124,9.0
165.0,1.3043,879.83,5676.183534,5676.032429,1.6963508449011124,9.0
166.0,1.3043,879.83,5676.032429,5675.818728,1.6963508449011124,9.0
167.0,1.3043,879.83,5675.818728,5675.605026,1.6963508449011124,9.0
168.0,1.3043,879.83,5675.605026,5675.451345,1.6963508449011124,9.0
169.0,1.3043,879.83,5675.451345,5675.30024,1.6963508449011124,9.0
170.0,1.3043,879.83,5675.30024,5675.08654,1.6963508449011124,9.0
171.0,1.3043,879.83,5675.08654,5674.872841,1.6963508449011124,9.0
172.0,1.3043,879.83,5674.872841,5674.721735,1.6963508449011124,9.0
173.0,1.3043,879.83,5674.721735,5674.57063,1.6963508449011124,9.0
174.0,1.3043,879.83,5674.57063,5674.35693,1.6963508449011124,9.0
175.0,1.3043,879.83,5674.35693,5674.14323,1.6963508449011124,9.0
176.0,1.3043,879.83,5674.14323,5673.992125,1.6963508449011124,9.0
177.0,1.3043,879.83,5673.992125,5673.84102,1.6963508449011124,9.0
178.0,1.3043,879.83,5673.84102,5673.62732,1.6963508449011124,9.0
179.0,1.3043,879.83,5673.62732,5673.41362,1.6963508449011124,9.0
180.0,1.3043,879.83,5673.41362,5673.19992,1.6963508449011124,9.0
181.0,1.3043,879.83,5673.19992,5672.986219,1.6963508449011124,9.0
182.0,1.3043,879.83,5672.986219,5672.772519,1.6963508449011124,9.0
183.0,1.3043,879.83,5672.772519,5672.558818,1.6963508449011124,9.0
184.0,1.3043,879.83,5672.558818,5672.407713,1.6963508449011124,9.0
185.0,1.3043,879.83,5672.407713,5672.256608,1.6963508449011124,9.0
186.0,1.3043,879.83,5672.256608,5672.042907,1.6963508449011124,9.0
187.0,1.3043,879.83,5672.042907,5671.829207,1.6963508449011124,9.0
188.0,1.3043,879.83,5671.829207,5671.678101,1.6963508449011124,9.0
189.0,1.3043,879.83,5671.678101,5671.526996,1.6963508449011124,9.0
190.0,1.3043,879.83,5671.526996,5671.375891,1.6963508449011124,9.0
191.0,1.3043,879.83,5671.375891,5671.224785,1.6963508449011124,9.0
192.0,1.3043,879.83,5671.224785,5671.07368,1.6963508449011124,9.0
193.0,1.3043,879.83,5671.07368,5670.922575,1.6963508449011124,9.0
194.0,1.3043,879.83,5670.922575,5670.77147,1.6963508449011124,9.0
195.0,1.3043,879.83,5670.77147,5670.557769,1.6963508449011124,9.0
196.0,1.3043,879.83,5670.557769,5670.406663,1.6963508449011124,9.0
197.0,1.3043,879.83,5670.406663,5670.255558,1.6963508449011124,9.0
198.0,1.3043,879.83,5670.255558,5670.104453,1.6963508449011124,9.0
199.0,1.3043,879.83,5670.104453,5669.953348,1.6963508449011124,9.0
200.0,1.3043,879.83,5669.953348,5669.802242,1.6963508449011124,9.0
201.0,1.3043,879.83,5669.802242,5669.651137,1.6963508449011124,9.0
202.0,1.3043,879.83,5669.651137,5669.500032,1.6963508449011124,9.0
203.0,1.3043,879.83,5669.500032,5669.348927,1.6963508449011124,9.0
204.0,1.3043,879.83,5669.348927,5669.135226,1.6963508449011124,9.0
205.0,1.3043,879.83,5669.135226,5668.98412,1.6963508449011124,9.0
206.0,1.3043,879.83,5668.98412,5668.833015,1.6963508449011124,9.0
207.0,1.3043,879.83,5668.833015,5668.68191,1.6963508449011124,9.0
208.0,1.3043,879.83,5668.68191,5668.530711,1.6963508449011124,9.0
209.0,1.3043,879.83,5668.530711,5668.317009,1.6963508449011124,9.0
210.0,1.3043,879.83,5668.317009,5668.165903,1.6963508449011124,9.0
211.0,1.3043,879.83,5668.165903,5668.014798,1.6963508449011124,9.0
212.0,1.3043,879.83,5668.014798,5667.863693,1.6963508449011124,9.0
213.0,1.3043,879.83,5667.863693,5667.712588,1.6963508449011124,9.0
214.0,1.3043,879.83,5667.712588,5667.561482,1.6963508449011124,9.0
215.0,1.3043,879.83,5667.561482,5667.410377,1.6963508449011124,9.0
216.0,1.3043,879.83,5667.410377,5667.259272,1.6963508449011124,9.0
217.0,1.3043,879.83,5667.259272,5667.108166,1.6963508449011124,9.0
218.0,1.3043,879.83,5667.108166,5666.957061,1.6963508449011124,9.0
219.0,1.3043,879.83,5666.957061,5666.743359,1.6963508449011124,9.0
220.0,1.3043,879.83,5666.743359,5666.592254,1.6963508449011124,9.0
221.0,1.3043,879.83,5666.592254,5666.378552,1.6963508449011124,9.0
222.0,1.3043,879.83,5666.378552,5666.227447,1.6963508449011124,9.0
223.0,1.3043,879.83,5666.227447,5666.076341,1.6963508449011124,9.0
224.0,1.3043,879.83,5666.076341,5665.925236,1.6963508449011124,9.0
225.0,1.3043,879.83,5665.925236,5665.774131,1.6963508449011124,9.0
226.0,1.3043,879.83,5665.774131,5665.623025,1.6963508449011124,9.0
227.0,1.3043,879.83,5665.623025,5665.409323,1.6963508449011124,9.0
228.0,1.3043,879.83,5665.409323,5665.258218,1.6963508449011124,9.0
229.0,1.3043,879.83,5665.258218,5665.107113,1.6963508449011124,9.0
230.0,1.3043,879.83,5665.107113,5664.89341,1.6963508449011124,9.0
231.0,1.3043,879.83,5664.89341,5664.679708,1.6963508449011124,9.0
232.0,1.3043,879.83,5664.679708,5664.528603,1.6963508449011124,9.0
233.0,1.3043,879.83,5664.528603,5664.377497,1.6963508449011124,9.0
234.0,1.3043,879.83,5664.377497,5664.226392,1.6963508449011124,9.0
235.0,1.3043,879.83,5664.226392,5664.075287,1.6963508449011124,9.0
236.0,1.3043,879.83,5664.075287,5663.924181,1.6963508449011124,9.0
237.0,1.3043,817.63,5663.924181,5663.783759,1.5764265157092807,9.0
238.0,1.3043,817.63,5663.783759,5663.643337,1.5764265157092807,9.0
239.0,1.3043,817.63,5663.643337,5663.502914,1.5764265157092807,9.0
240.0,1.3043,817.63,5663.502914,5663.362492,1.5764265157092807,9.0
241.0,1.3043,817.63,5663.362492,5663.222069,1.5764265157092807,9.0
242.0,1.3043,817.63,5663.222069,5663.081647,1.5764265157092807,9.0
243.0,1.3043,817.63,5663.081647,5662.941225,1.5764265157092807,9.0
244.0,1.3043,817.63,5662.941225,5662.74263,1.5764265157092807,9.0
245.0,1.3043,817.63,5662.74263,5662.602208,1.5764265157092807,9.0
246.0,1.3043,817.63,5662.602208,5662.461785,1.5764265157092807,9.0
247.0,1.3043,817.63,5662.461785,5662.321363,1.5764265157092807,9.0
248.0,1.3043,817.63,5662.321363,5662.180941,1.5764265157092807,9.0
249.0,1.3043,817.63,5662.180941,5661.980488,1.5764265157092807,9.0
250.0,1.3043,817.63,5661.980488,5661.840065,1.5764265157092807,9.0
251.0,1.3043,817.63,5661.840065,5661.699643,1.5764265157092807,9.0
252.0,1.3043,817.63,5661.699643,5661.55922,1.5764265157092807,9.0
253.0,1.3043,817.63,5661.55922,5661.418798,1.5764265157092807,9.0
254.0,1.3043,817.63,5661.418798,5661.278376,1.5764265157092807,9.0
255.0,1.3043,817.63,5661.278376,5661.137953,1.5764265157092807,9.0
256.0,1.3043,817.63,5661.137953,5660.997531,1.5764265157092807,9.0
257.0,1.3043,817.63,5660.997531,5660.857108,1.5764265157092807,9.0
258.0,1.3043,817.63,5660.857108,5660.716686,1.5764265157092807,9.0
259.0,1.3043,817.63,5660.716686,5660.518094,1.5764265157092807,9.0
260.0,1.3043,817.63,5660.518094,5660.377671,1.5764265157092807,9.0
261.0,1.3043,817.63,5660.377671,5660.179079,1.5764265157092807,9.0
262.0,1.3043,817.63,5660.179079,5659.980486,1.5764265157092807,9.0
263.0,1.3043,817.63,5659.980486,5659.840063,1.5764265157092807,9.0
264.0,1.3043,817.63,5659.840063,5659.699641,1.5764265157092807,9.0
265.0,1.3043,817.63,5659.699641,5659.501048,1.5764265157092807,9.0
266.0,1.3043,817.63,5659.501048,5659.360626,1.5764265157092807,9.0
267.0,1.3043,817.63,5659.360626,5659.220203,1.5764265157092807,9.0
268.0,1.3043,817.63,5659.220203,5659.079781,1.5764265157092807,9.0
269.0,1.3043,817.63,5659.079781,5658.939359,1.5764265157092807,9.0
270.0,1.3043,817.63,5658.939359,5658.798936,1.5764265157092807,9.0
271.0,1.3043,817.63,5658.798936,5658.600343,1.5764265157092807,9.0
272.0,1.3043,817.63,5658.600343,5658.459921,1.5764265157092807,9.0
273.0,1.3043,817.63,5658.459921,5658.319498,1.5764265157092807,9.0
274.0,1.3043,817.63,5658.319498,5658.120905,1.5764265157092807,9.0
